333, 500.0
377, 476.0
277, 337.0
182, 238.0
325, 205.0
262, 152.0
184, 285.0
93, 227.0
141, 137.0
383, 259.0
481, 351.0
344, 258.0
241, 216.0
171, 107.0
224, 147.0
296, 218.0
237, 301.0
354, 386.0
322, 334.0
391, 366.0
449, 308.0
408, 308.0
378, 293.0
444, 272.0
410, 191.0
375, 163.0
305, 130.0
276, 112.0
361, 108.0
338, 174.0
383, 208.0
284, 270.0
235, 272.0
327, 310.0
140, 214.0
153, 269.0
109, 229.0
74, 174.0
85, 124.0
4, 98.0
115, 152.0
153, 162.0
215, 185.0
271, 180.0
322, 186.0
297, 161.0
290, 200.0
273, 252.0
281, 308.0
325, 285.0
288, 267.0
144, 214.0
201, 226.0
276, 276.0
348, 334.0
397, 367.0
348, 303.0
391, 336.0
349, 227.0
325, 185.0
368, 204.0
439, 244.0
378, 243.0
