37, 274.0
38, 271.0
40, 266.0
43, 259.0
48, 253.0
52, 246.0
55, 243.0
63, 233.0
65, 228.0
36, 266.0
36, 254.0
37, 245.0
37, 239.0
37, 229.0
37, 222.0
37, 213.0
37, 193.0
37, 200.0
37, 206.0
37, 188.0
70, 235.0
74, 240.0
81, 248.0
84, 255.0
89, 264.0
94, 277.0
93, 272.0
97, 273.0
97, 269.0
97, 262.0
97, 255.0
97, 250.0
97, 242.0
97, 235.0
97, 231.0
97, 224.0
97, 217.0
97, 210.0
97, 204.0
95, 196.0
90, 190.0
85, 188.0
117, 278.0
117, 273.0
117, 269.0
117, 264.0
117, 257.0
117, 250.0
117, 244.0
117, 239.0
117, 235.0
117, 231.0
117, 223.0
117, 217.0
117, 210.0
117, 204.0
116, 198.0
114, 195.0
113, 191.0
118, 192.0
120, 196.0
123, 196.0
130, 198.0
136, 198.0
143, 199.0
150, 201.0
158, 203.0
165, 203.0
171, 203.0
212, 268.0
231, 270.0
223, 260.0
215, 251.0
218, 251.0
224, 251.0
228, 251.0
234, 254.0
212, 272.0
209, 272.0
229, 276.0
234, 275.0
207, 277.0
213, 277.0
234, 279.0
228, 281.0
200, 289.0
195, 285.0
192, 279.0
190, 273.0
189, 269.0
187, 259.0
187, 253.0
190, 248.0
196, 244.0
201, 239.0
208, 235.0
213, 235.0
220, 235.0
226, 235.0
237, 235.0
233, 235.0
206, 292.0
212, 292.0
219, 293.0
229, 293.0
222, 295.0
189, 263.0
236, 292.0
241, 288.0
246, 282.0
246, 277.0
241, 239.0
242, 243.0
245, 247.0
246, 253.0
247, 258.0
247, 263.0
247, 269.0
